"variables","type","unit","Definition"
"mesure_id","character",NA,"Alphanumeric identifier of the measurement build by merging the last 2 numbers of census year, the name of the plot and the numeric identifier of the tree"
"plot_id","character",NA,"Name of the plot"
"year","numeric","year","Census year"
"tree_id","character",NA,"Numeric identifier of the tree"
"code_status","character",NA,"Tree status (see appendix 1 for code meaning)"
"code_diam","integer",NA,"Dbh measurement method (see appendix 1 for code meaning)"
"dbh","numeric","centimeter","Dbh value"
"h_tot","numeric","meter","Height value"
"crown_h1","numeric","Meter","Height of the lowest large branch on the first direction (uphill side of the tree)"
"crown_h2","numeric","Meter","Height of the lowest large branch on the second direction (left of the first direction)"
"crown_h3","numeric","Meter","Height of the lowest large branch on the third direction (downhill side of the tree)"
"crown_h4","numeric","Meter","Height of the lowest large branch on the fourth direction (right of the first direction)"
"crown_r1","numeric","Meter","Height of the lowest large branch on the first direction (uphill side of the tree)"
"crown_r2","numeric","Meter","Height of the lowest large branch on the second direction (left of the first direction)"
"crown_r3","numeric","Meter"," Height of the lowest large branch on the third direction (downhill side of the tree)"
"crown_r4","numeric","Meter"," Height of the lowest large branch on the fourth direction (right of the first direction)"
"strate","integer",NA,"Tree strata (see text for explanation)"
